V(m/s),T2-VLM2+Drag,,V(m/s),T2-VLM2+Drag,,V(m/s),T2-VLM2+Drag,,
45.67046,15.64435,,46.56526,8.801176,,47.59324,9.019201,,
38.26398,10.38434,,39.1103,10.82292,,40.14948,11.34532,,
33.58608,12.834,,34.37507,13.39124,,35.37346,14.00501,,
30.2904,14.87351,,31.02809,15.56821,,31.97782,16.50725,,
27.80825,16.56219,,28.50191,17.39436,,29.40503,18.20286,,
25.85249,17.66021,,26.50847,18.44505,,27.36925,19.09969,,
24.26045,18.25381,,24.8839,18.96504,,25.70681,19.5576,,
22.93214,18.491,,23.52727,19.14541,,24.31633,19.71764,,
21.80228,18.47072,,22.3725,19.07332,,23.13124,19.64174,,
20.82621,18.23514,,21.37431,18.82509,,22.10577,19.40919,,
19.97218,17.89153,,20.5005,18.47076,,21.20728,19.06541,,
19.21694,17.47536,,19.72744,18.04064,,20.41177,18.64485,,
18.54301,16.99678,,19.03734,17.55578,,19.70118,18.1751,,
17.93696,16.48406,,18.41654,17.0438,,19.06157,17.6711,,
17.38828,15.96311,,17.85434,16.5183,,18.48203,17.14204,,
16.88861,15.44027,,17.34221,15.98286,,17.95386,16.59835,,
16.43122,14.91962,,16.87329,15.44306,,17.47005,16.04621,,
16.01059,14.40221,,16.44196,14.91292,,17.02484,15.50805,,
15.62217,13.90575,,16.04357,14.40556,,16.61348,14.99579,,
15.26218,13.43832,,15.67425,13.92841,,16.23201,14.51037,,
14.92741,12.99697,,15.33074,13.47761,,15.87708,14.05112,,
14.61516,12.57884,,15.01027,13.05056,,15.54585,13.61494,,
14.32311,12.18297,,14.71047,12.64533,,15.23589,13.20042,,
14.04926,11.8075,,14.4293,12.26092,,14.94512,12.80361,,
13.79189,11.45083,,14.165,11.89311,,14.67171,12.42591,,
13.54949,11.11353,,13.91603,11.54669,,14.41408,12.06533,,
13.32075,10.78688,,13.68104,11.21519,,14.17086,11.7048,,
13.1045,10.45547,,13.45884,10.88505,,13.94082,11.28374,,
12.89972,10.1069,,13.24839,10.50639,,13.72289,10.80936,,
12.70551,9.74673,,13.04876,10.10697,,,,,

