CD,T2-VLM2+Drag,,CD,T2-VLM2+Drag,,CD,T2-VLM2+Drag,,
0.006184235,0.09674835,,0.01208486,0.106361,,0.01317027,0.1187853,,
0.01327258,0.137827,,0.01393091,0.1507732,,0.01471216,0.1669142,,
0.01393906,0.178894,,0.01457465,0.1951728,,0.01535376,0.2150295,,
0.01478737,0.2199401,,0.01538713,0.23955,,0.01593973,0.263121,,
0.01575613,0.260956,,0.01632112,0.2838953,,0.01709504,0.3111787,,
0.01709676,0.3019324,,0.01779333,0.3281989,,0.0188062,0.3591925,,
0.01878293,0.34286,,0.01963883,0.3724511,,0.02081811,0.4071523,,
0.02075224,0.3837297,,0.021762,0.4166423,,0.02307821,0.455048,,
0.02298405,0.4245321,,0.02415745,0.4607628,,0.02560209,0.5028696,,
0.02551437,0.4652581,,0.02681543,0.504803,,0.02836838,0.5506072,,
0.02827586,0.5058985,,0.02970931,0.5487534,,0.03137886,0.5982508,,
0.03126941,0.5464443,,0.0328483,0.5926045,,0.03463639,0.6457904,,
0.03452927,0.5868863,,0.03624714,0.6363468,,0.03814098,0.6932162,,
0.03804983,0.6272155,,0.0398955,0.6799708,,0.04190563,0.7405185,,
0.04181034,0.6674231,,0.04379793,0.7234673,,0.04595061,0.7876873,,
0.04582174,0.7075,,0.04797806,0.7668268,,0.05028894,0.8347132,,
0.05009763,0.7474374,,0.05245336,0.8100403,,0.05494047,0.8815864,,
0.05466012,0.7872267,,0.05720534,0.8530984,,0.05985907,0.9282974,,
0.05946164,0.826859,,0.06219767,0.8959922,,0.06500737,0.9748367,,
0.06446681,0.8663257,,0.06739551,0.9387126,,0.0703769,1.021195,,
0.06967922,0.9056184,,0.07280597,0.9812506,,0.07596281,1.067363,,
0.0751046,0.9447286,,0.07843322,1.023598,,0.08177274,1.113331,,
0.08073961,0.983648,,0.08427971,1.065745,,0.08780708,1.159091,,
0.08658635,1.022368,,0.09034259,1.107683,,0.09408536,1.204633,,
0.09264668,1.060881,,0.09664462,1.149405,,0.100592,1.249948,,
0.09890457,1.099179,,0.1031378,1.190901,,0.1073346,1.295028,,
0.1054293,1.137253,,0.1098656,1.232163,,0.1144712,1.339863,,
0.1123906,1.175096,,0.1169663,1.273183,,0.1226939,1.384447,,
0.1199874,1.212701,,0.1250624,1.313954,,0.1321789,1.428769,,
0.1282542,1.250059,,0.134013,1.354466,,,,,

