CD,T2-VLM2+Drag,,
0.01295306,0.07251245,,
0.0136571,0.1121103,,
0.014354,0.1516995,,
0.01507417,0.1912721,,
0.01596221,0.2308199,,
0.01690752,0.2703348,,
0.01821195,0.3098088,,
0.01981918,0.3492339,,
0.02168435,0.388602,,
0.02377033,0.4279052,,
0.02610598,0.4671354,,
0.02864491,0.5062847,,
0.03137778,0.5453453,,
0.03431899,0.5843092,,
0.03747908,0.6231688,,
0.04083999,0.6619161,,
0.04441312,0.7005436,,
0.04820836,0.7390434,,
0.05222608,0.7774082,,
0.05647274,0.8156303,,
0.06088981,0.8537022,,
0.06548065,0.8916167,,
0.07024116,0.9293663,,
0.07517554,0.9669438,,
0.08028305,1.004342,,
0.08556295,1.041554,,
0.09100796,1.078573,,
0.09668788,1.115392,,
0.1028786,1.152004,,
0.1096346,1.188402,,

