Alpha,T2-VLM2-5000.0g-x0.0mm,,Alpha,T7-VLM2+Drag,,
-4,0.08280664,,-1.052802,0.7318938,,
-3.5,0.1236065,,-1.052802,0.7318938,,
-3,0.1644005,,-1.052802,0.7318938,,
-2.5,0.2051804,,-1.052802,0.7318938,,
-2,0.2459376,,-1.052802,0.7318938,,
-1.5,0.2866637,,-1.052802,0.7318938,,
-1,0.3273502,,-1.052802,0.7318938,,
-0.5,0.3679887,,-1.052802,0.7318938,,
0,0.4085708,,-1.052802,0.7318938,,
0.5,0.449088,,-1.052802,0.7318938,,
1,0.4895321,,-1.052802,0.7318938,,
1.5,0.5298946,,,,,
2,0.5701674,,,,,
2.5,0.6103421,,,,,
3,0.6504105,,,,,
3.5,0.6903644,,,,,
4,0.7301959,,,,,
4.5,0.7698967,,,,,
5,0.809459,,,,,
5.5,0.8488747,,,,,
6,0.8881361,,,,,
6.5,0.9272354,,,,,
7,0.9661649,,,,,
7.5,1.004917,,,,,
8,1.043484,,,,,
8.5,1.081858,,,,,
9,1.120033,,,,,
9.5,1.158001,,,,,
10,1.195754,,,,,
10.5,1.233287,,,,,
11,1.27059,,,,,
11.5,1.307659,,,,,
12,1.344486,,,,,
12.5,1.381065,,,,,
13,1.417389,,,,,

