CD,T2-VLM2+Drag,,CD,T2-VLM2-5000.0g-x0.0mm,,CD,T7-VLM2+Drag,,
0.08298507,0.4027049,,0.01324168,0.08280664,,0.0810882,0.7318938,,
0.08129651,0.4236904,,0.01503482,0.1236065,,0.0810882,0.7318938,,
0.07955511,0.4446628,,0.01565814,0.1644005,,0.0810882,0.7318938,,
0.07802422,0.465621,,0.01626513,0.2051804,,0.0810882,0.7318938,,
0.07692248,0.4865638,,0.01623823,0.2459376,,0.0810882,0.7318938,,
0.07609707,0.5074901,,0.01810482,0.2866637,,0.0810882,0.7318938,,
0.07553706,0.5283987,,0.02068247,0.3273502,,0.0810882,0.7318938,,
0.07528683,0.5492884,,0.0229303,0.3679887,,0.0810882,0.7318938,,
0.07519702,0.5701581,,0.02486384,0.4085708,,0.0810882,0.7318938,,
0.07536448,0.5910066,,0.02698679,0.449088,,0.0810882,0.7318938,,
0.07574284,0.6118328,,0.02938159,0.4895321,,0.0810882,0.7318938,,
0.07627685,0.6326355,,0.0319181,0.5298946,,,,,
0.07700932,0.6534136,,0.03453605,0.5701674,,,,,
0.07790064,0.6741659,,0.03739436,0.6103421,,,,,
0.07896664,0.6948912,,0.04049993,0.6504105,,,,,
0.08012909,0.7155885,,0.04385626,0.6903644,,,,,
0.08140824,0.7362565,,0.04742707,0.7301959,,,,,
0.08280912,0.7568943,,0.05122549,0.7698967,,,,,
0.08434308,0.7775005,,0.05525755,0.809459,,,,,
0.08606544,0.7980741,,0.05954692,0.8488747,,,,,
0.0878892,0.818614,,0.06403467,0.8881361,,,,,
0.0898129,0.839119,,0.06872197,0.9272354,,,,,
0.09175007,0.8595881,,0.07358825,0.9661649,,,,,
0.09385035,0.88002,,0.07865285,1.004917,,,,,
0.09607654,0.9004138,,0.08388092,1.043484,,,,,
0.09838639,0.9207682,,0.08929405,1.081858,,,,,
0.1007545,0.9410823,,0.0948871,1.120033,,,,,
0.1031679,0.9613548,,0.1006365,1.158001,,,,,
0.1057414,0.9815847,,0.1065542,1.195754,,,,,
0.1083756,1.001771,,0.1126172,1.233287,,,,,
0.1110721,1.021913,,0.1188308,1.27059,,,,,
0.1138338,1.042008,,0.1251687,1.307659,,,,,
0.1166517,1.062057,,0.1316365,1.344486,,,,,
0.1195087,1.082058,,0.138271,1.381065,,,,,
0.1224023,1.10201,,0.1451566,1.417389,,,,,
0.125511,1.121911,,,,,,,,
0.1287443,1.141762,,,,,,,,
0.1320622,1.16156,,,,,,,,
0.1354753,1.181305,,,,,,,,
0.138971,1.200996,,,,,,,,
0.1425205,1.220632,,,,,,,,
0.1461161,1.240211,,,,,,,,
0.1497811,1.259734,,,,,,,,
0.1565012,1.279197,,,,,,,,
0.1638774,1.298602,,,,,,,,
0.1720791,1.317946,,,,,,,,
0.1774168,1.337229,,,,,,,,
0.1865968,1.35645,,,,,,,,
0.1919902,1.375608,,,,,,,,
0.2021205,1.394701,,,,,,,,
0.2078519,1.41373,,,,,,,,
0.2140955,1.432692,,,,,,,,
0.2249929,1.451588,,,,,,,,
0.2312323,1.470415,,,,,,,,

