Real,T7-VLM2_Mode_0,,Real,T7-VLM2_Mode_1,,Real,T7-VLM2_Mode_2,,Real,T7-VLM2_Mode_3,,Real,T7-VLM2_Mode_0,,Real,T7-VLM2_Mode_1,,Real,T7-VLM2_Mode_2,,Real,T7-VLM2_Mode_3,,Real,T7-VLM2_Mode_0,,Real,T7-VLM2_Mode_1,,Real,T7-VLM2_Mode_2,,Real,T7-VLM2_Mode_3,,
-7.676639,-1.941141,,-7.676639,1.941141,,-0.01202155,-0.09534562,,-0.01202155,0.09534562,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,-8.139005,-2.495958,,-8.139005,2.495958,,-0.01116732,-0.07788245,,-0.01116732,0.07788245,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,
,,,,,,,,,,,,-7.641609,-1.568414,,-7.641609,1.568414,,-0.01028663,-0.1101281,,-0.01028663,0.1101281,,,,,,,,,,,,,,

